year,General Food Category,Sub-Category,Detail,avg_per_capita_calories
1970,"Meat, eggs, and nuts",Meat,Red meat,325.3
1971,"Meat, eggs, and nuts",Meat,Red meat,331.9
1972,"Meat, eggs, and nuts",Meat,Red meat,325.5
1973,"Meat, eggs, and nuts",Meat,Red meat,301.6
1974,"Meat, eggs, and nuts",Meat,Red meat,322.4
1975,"Meat, eggs, and nuts",Meat,Red meat,313.6
1976,"Meat, eggs, and nuts",Meat,Red meat,333
1977,"Meat, eggs, and nuts",Meat,Red meat,329.1
1978,"Meat, eggs, and nuts",Meat,Red meat,316.5
1979,"Meat, eggs, and nuts",Meat,Red meat,303.9
1980,"Meat, eggs, and nuts",Meat,Red meat,306.8
1981,"Meat, eggs, and nuts",Meat,Red meat,304.7
1982,"Meat, eggs, and nuts",Meat,Red meat,294
1983,"Meat, eggs, and nuts",Meat,Red meat,303.4
1984,"Meat, eggs, and nuts",Meat,Red meat,302.6
1985,"Meat, eggs, and nuts",Meat,Red meat,305.5
1986,"Meat, eggs, and nuts",Meat,Red meat,300
1987,"Meat, eggs, and nuts",Meat,Red meat,286.9
1988,"Meat, eggs, and nuts",Meat,Red meat,290.5
1989,"Meat, eggs, and nuts",Meat,Red meat,280
1990,"Meat, eggs, and nuts",Meat,Red meat,272.4
1991,"Meat, eggs, and nuts",Meat,Red meat,270.3
1992,"Meat, eggs, and nuts",Meat,Red meat,273.6
1993,"Meat, eggs, and nuts",Meat,Red meat,268.2
1994,"Meat, eggs, and nuts",Meat,Red meat,274.2
1995,"Meat, eggs, and nuts",Meat,Red meat,274.8
1996,"Meat, eggs, and nuts",Meat,Red meat,270
1997,"Meat, eggs, and nuts",Meat,Red meat,265
1998,"Meat, eggs, and nuts",Meat,Red meat,274.4
1999,"Meat, eggs, and nuts",Meat,Red meat,278.3
2000,"Meat, eggs, and nuts",Meat,Red meat,275.8
2001,"Meat, eggs, and nuts",Meat,Red meat,270.4
2002,"Meat, eggs, and nuts",Meat,Red meat,276.6
2003,"Meat, eggs, and nuts",Meat,Red meat,270
2004,"Meat, eggs, and nuts",Meat,Red meat,271.8
2005,"Meat, eggs, and nuts",Meat,Red meat,267.3
2006,"Meat, eggs, and nuts",Meat,Red meat,267
2007,"Meat, eggs, and nuts",Meat,Red meat,267.7
2008,"Meat, eggs, and nuts",Meat,Red meat,257.4
2009,"Meat, eggs, and nuts",Meat,Red meat,255
2010,"Meat, eggs, and nuts",Meat,Red meat,246.6
2011,"Meat, eggs, and nuts",Meat,Red meat,236.3
2012,"Meat, eggs, and nuts",Meat,Red meat,237
2013,"Meat, eggs, and nuts",Meat,Red meat,236.3
2014,"Meat, eggs, and nuts",Meat,Red meat,228.9
2015,"Meat, eggs, and nuts",Meat,Red meat,235.9
2016,"Meat, eggs, and nuts",Meat,Red meat,240.8
2017,"Meat, eggs, and nuts",Meat,Red meat,244.9
1970,"Meat, eggs, and nuts",Meat,Poultry,74.2
1971,"Meat, eggs, and nuts",Meat,Poultry,74.4
1972,"Meat, eggs, and nuts",Meat,Poultry,77.4
1973,"Meat, eggs, and nuts",Meat,Poultry,73.8
1974,"Meat, eggs, and nuts",Meat,Poultry,73.9
1975,"Meat, eggs, and nuts",Meat,Poultry,72
1976,"Meat, eggs, and nuts",Meat,Poultry,77.7
1977,"Meat, eggs, and nuts",Meat,Poultry,78.7
1978,"Meat, eggs, and nuts",Meat,Poultry,82
1979,"Meat, eggs, and nuts",Meat,Poultry,88.4
1980,"Meat, eggs, and nuts",Meat,Poultry,89.2
1981,"Meat, eggs, and nuts",Meat,Poultry,92
1982,"Meat, eggs, and nuts",Meat,Poultry,92.4
1983,"Meat, eggs, and nuts",Meat,Poultry,93.3
1984,"Meat, eggs, and nuts",Meat,Poultry,96.2
1985,"Meat, eggs, and nuts",Meat,Poultry,99.5
1986,"Meat, eggs, and nuts",Meat,Poultry,102.9
1987,"Meat, eggs, and nuts",Meat,Poultry,110.3
1988,"Meat, eggs, and nuts",Meat,Poultry,111.8
1989,"Meat, eggs, and nuts",Meat,Poultry,115
1990,"Meat, eggs, and nuts",Meat,Poultry,120.8
1991,"Meat, eggs, and nuts",Meat,Poultry,125.2
1992,"Meat, eggs, and nuts",Meat,Poultry,130.7
1993,"Meat, eggs, and nuts",Meat,Poultry,134.3
1994,"Meat, eggs, and nuts",Meat,Poultry,135.8
1995,"Meat, eggs, and nuts",Meat,Poultry,134.5
1996,"Meat, eggs, and nuts",Meat,Poultry,136.1
